"","country","pageid","wikidataid","wikititle","name","sex","ethnicity","religion","birth","death","birthplace","deathplace"
"21","USA-S",367105,"Q22360","Lisa_Murkowski","Lisa Murkowski","female","white","catholicism",1957-05-22,NA,"55.35,-131.67333",NA
"22","USA-S",339186,"Q457432","Tom_Carper","Tom Carper","male","white","protestantism reformed",1947-01-23,NA,"37.77972,-81.18306",NA
"23","USA-S",363272,"Q358437","Bill_Nelson","Bill Nelson","male","white","protestantism reformed",1942-09-29,NA,"25.78333,-80.21667",NA
"24","USA-S",335844,"Q241092","Debbie_Stabenow","Debbie Stabenow","female","white","protestantism methodist",1950-04-29,NA,"43.98083,-84.48639",NA
"25","USA-S",335068,"Q719568","John_Cornyn","John Cornyn","male","white","protestantism reformed",1952-02-02,NA,"29.76278,-95.38306",NA
"26","USA-S",333605,"Q22250","Maria_Cantwell","Maria Cantwell","female","white","catholicism",1958-10-13,NA,"39.76778,-86.15806",NA
"27","USA-S",363279,"Q22212","Lindsey_Graham","Lindsey Graham","male","white","protestantism baptist",1955-07-09,NA,"34.72389,-82.77972",NA
"28","USA-S",296724,"Q419976","Lamar_Alexander","Lamar Alexander","male","white","protestantism reformed",1940-07-03,NA,"35.74972,-83.97556",NA
"29","USA-S",411739,"Q130024","Johnny_Isakson","Johnny Isakson","male","white","protestantism methodist",1944-12-28,NA,"33.75694,-84.39028",NA
"30","USA-S",694313,"Q888132","Bob_Menendez","Bob Menendez","male","hispanic","catholicism",1954-01-01,NA,NA,NA
"31","USA-S",850170,"Q331278","Richard_Burr","Richard Burr","male","white","protestantism methodist",1955-11-30,NA,"38.0299,-78.479",NA
"32","USA-S",1003249,"Q462981","John_Thune","John Thune","male","white","protestantism evangelical",1961-01-07,NA,"44.36797,-100.33638",NA
"33","USA-S",414532,"Q723295","Ben_Cardin","Ben Cardin","male","white","judaism",1943-10-05,NA,"39.28639,-76.615",NA
"34","USA-S",1596343,"Q22237","Amy_Klobuchar","Amy Klobuchar","female","white","protestantism reformed",1960-05-25,NA,"45.01056,-93.45556",NA
"35","USA-S",417439,"Q390491","Roger_Wicker","Roger Wicker","male","white","protestantism baptist",1951-07-05,NA,"34.2486,-89.0067",NA
"36","USA-S",1043236,"Q22260","Claire_McCaskill","Claire McCaskill","female","white","catholicism",1953-07-24,NA,"37.94889,-91.76306",NA
"37","USA-S",1922917,"Q529351","Jon_Tester","Jon Tester","male","white","protestantism evangelical",1956-08-21,NA,"48.54528,-109.6775",NA
"38","USA-S",7811761,"Q381880","Sherrod_Brown","Sherrod Brown","male","white","protestantism lutheran",1952-11-09,NA,"40.75486,-82.52286",NA
"39","USA-S",30875653,"Q887841","Bob_Casey_Jr.","Bob Casey, Jr.","male","white","catholicism",1960-04-13,NA,"41.40897,-75.66241",NA
"40","USA-S",2600365,"Q652066","Sheldon_Whitehouse","Sheldon Whitehouse","male","white",NA,1955-10-20,NA,"40.72833,-73.99417",NA
"41","USA-S",5238791,"Q331719","Bob_Corker","Bob Corker","male","white","protestantism reformed",1952-08-24,NA,"33.49694,-80.86222",NA
"42","USA-S",361176,"Q359442","Bernie_Sanders","Bernie Sanders","male","white","judaism",1941-09-08,NA,"40.69278,-73.99028",NA
"43","USA-S",11793401,"Q720521","John_Barrasso","John Barrasso","male","white","protestantism reformed",1952-07-21,NA,"40.34167,-75.92611",NA
"44","USA-S",20926639,"Q554792","Michael_Bennet","Michael Bennet","male","white",NA,1964-11-28,NA,"28.7,77.2",NA
"45","USA-S",2782602,"Q923242","Chris_Coons","Chris Coons","male","white",NA,1963-09-09,NA,"41.03889,-73.61389",NA
"46","USA-S",2238030,"Q721871","Jim_Risch","Jim Risch","male","white","catholicism",1943-05-03,NA,"43.05,-87.95",NA
"47","USA-S",251879,"Q319084","Al_Franken","Al Franken","male","white","judaism",1951-05-21,NA,"40.72833,-73.99417",NA
"48","USA-S",299820,"Q270316","Jeanne_Shaheen","Jeanne Shaheen","female","white",NA,1947-01-28,NA,"38.78861,-90.51167",NA
"49","USA-S",699307,"Q957690","Tom_Udall","Tom Udall","male","white","protestantism restorationism",1948-05-18,NA,"32.22167,-110.92639",NA
"50","USA-S",6778068,"Q22222","Kirsten_Gillibrand","Kirsten Gillibrand","female","white","catholicism",1966-12-09,NA,"42.65,-73.76667",NA
"51","USA-S",7921812,"Q1368405","Jeff_Merkley","Jeff Merkley","male","white","protestantism lutheran",1956-10-24,NA,"43.02694,-123.28222",NA
